Subject,Url
Renaissance Art,https://www.barnesandnoble.com//b/textbooks/art-history-criticism/renaissance-art/_/N-8q9Zsix;jsessionid=CF849A9C035E9B621F86BED02583F7B8.prodny_store01-va14
Sculpture,https://www.barnesandnoble.com//b/textbooks/art-history-criticism/sculpture/_/N-8q9Zshh;jsessionid=CF849A9C035E9B621F86BED02583F7B8.prodny_store01-va14
Types of Art,https://www.barnesandnoble.com//b/textbooks/art-history-criticism/types-of-art/_/N-8q9Zsim;jsessionid=CF849A9C035E9B621F86BED02583F7B8.prodny_store01-va14
Anatomy,https://www.barnesandnoble.com//b/textbooks/biology-life-sciences/anatomy/_/N-8q9Z18bs;jsessionid=F74AFAEE8FE988FB0DBE8C95264E3F05.prodny_store01-va07
Biologists - Biography,https://www.barnesandnoble.com//b/textbooks/biology-life-sciences/biologists-biography/_/N-8q9Z18di;jsessionid=F74AFAEE8FE988FB0DBE8C95264E3F05.prodny_store01-va07
Biology,https://www.barnesandnoble.com//b/textbooks/biology-life-sciences/biology/_/N-8q9Z18bx;jsessionid=F74AFAEE8FE988FB0DBE8C95264E3F05.prodny_store01-va07
Biology & Life Sciences - Reference,https://www.barnesandnoble.com//b/textbooks/biology-life-sciences/biology-life-sciences-reference/_/N-8q9Z18dg;jsessionid=F74AFAEE8FE988FB0DBE8C95264E3F05.prodny_store01-va07
Biophysics,https://www.barnesandnoble.com//b/textbooks/biology-life-sciences/biophysics/_/N-8q9Z18dj;jsessionid=F74AFAEE8FE988FB0DBE8C95264E3F05.prodny_store01-va07
Botany,https://www.barnesandnoble.com//b/textbooks/biology-life-sciences/botany/_/N-8q9Z18ca;jsessionid=F74AFAEE8FE988FB0DBE8C95264E3F05.prodny_store01-va07
Cytology,https://www.barnesandnoble.com//b/textbooks/biology-life-sciences/cytology/_/N-8q9Z18ci;jsessionid=F74AFAEE8FE988FB0DBE8C95264E3F05.prodny_store01-va07
Evolution,https://www.barnesandnoble.com//b/textbooks/biology-life-sciences/evolution/_/N-8q9Z18df;jsessionid=F74AFAEE8FE988FB0DBE8C95264E3F05.prodny_store01-va07
Genetics,https://www.barnesandnoble.com//b/textbooks/biology-life-sciences/genetics/_/N-8q9Z18cm;jsessionid=F74AFAEE8FE988FB0DBE8C95264E3F05.prodny_store01-va07
History of Biology & Life Sciences,https://www.barnesandnoble.com//b/textbooks/biology-life-sciences/history-of-biology-life-sciences/_/N-8q9Z18dh;jsessionid=F74AFAEE8FE988FB0DBE8C95264E3F05.prodny_store01-va07
Neuroscience,https://www.barnesandnoble.com//b/textbooks/biology-life-sciences/neuroscience/_/N-8q9Z18de;jsessionid=F74AFAEE8FE988FB0DBE8C95264E3F05.prodny_store01-va07
Physiology,https://www.barnesandnoble.com//b/textbooks/biology-life-sciences/physiology/_/N-8q9Z18cv;jsessionid=F74AFAEE8FE988FB0DBE8C95264E3F05.prodny_store01-va07
Zoology,https://www.barnesandnoble.com//b/textbooks/biology-life-sciences/zoology/_/N-8q9Z18d9;jsessionid=F74AFAEE8FE988FB0DBE8C95264E3F05.prodny_store01-va07
Accounting,https://www.barnesandnoble.com//b/textbooks/business/accounting/_/N-8q9Ztsb;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
Business - General & Miscellaneous,https://www.barnesandnoble.com//b/textbooks/business/business-general-miscellaneous/_/N-8q9Ztdh;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
Business Biography,https://www.barnesandnoble.com//b/textbooks/business/business-biography/_/N-8q9Ztc0;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
Business History,https://www.barnesandnoble.com//b/textbooks/business/business-history/_/N-8q9Ztiy;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
Business Life & Careers,https://www.barnesandnoble.com//b/textbooks/business/business-life-careers/_/N-8q9Ztcd;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
Business Technology,https://www.barnesandnoble.com//b/textbooks/business/business-technology/_/N-8q9Ztjq;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
Economics,https://www.barnesandnoble.com//b/textbooks/business/economics/_/N-8q9Ztka;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
Human Resources,https://www.barnesandnoble.com//b/textbooks/business/human-resources/_/N-8q9Ztml;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
Industries,https://www.barnesandnoble.com//b/textbooks/business/industries/_/N-8q9Zt9m;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
International Business,https://www.barnesandnoble.com//b/textbooks/business/international-business/_/N-8q9Ztmw;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
Management & Leadership,https://www.barnesandnoble.com//b/textbooks/business/management-leadership/_/N-8q9Ztnt;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
Marketing & Sales,https://www.barnesandnoble.com//b/textbooks/business/marketing-sales/_/N-8q9Ztou;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
Personal Finance & Investing,https://www.barnesandnoble.com//b/textbooks/business/personal-finance-investing/_/N-8q9Ztpf;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
Professional Finance & Investing,https://www.barnesandnoble.com//b/textbooks/business/professional-finance-investing/_/N-8q9Ztpu;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
Real Estate,https://www.barnesandnoble.com//b/textbooks/business/real-estate/_/N-8q9Ztrl;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
Small Business,https://www.barnesandnoble.com//b/textbooks/business/small-business/_/N-8q9Ztrz;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
Women in Business,https://www.barnesandnoble.com//b/textbooks/business/women-in-business/_/N-8q9Ztk2;jsessionid=21A9F498EB72910B89FD551847E9A891.prodny_store01-va02
Under $5,https://www.barnesandnoble.com//b/textbooks/mathematics/calculus/_/N-cZ8q9Z18k6;jsessionid=8BE47AD83022CFEDE78D2F33E509E6F6.prodny_store01-va11
$10 - $25,https://www.barnesandnoble.com//b/textbooks/mathematics/calculus/_/N-4Z8q9Z18k6;jsessionid=8BE47AD83022CFEDE78D2F33E509E6F6.prodny_store01-va11
$25 - $50,https://www.barnesandnoble.com//b/textbooks/mathematics/calculus/_/N-5Z8q9Z18k6;jsessionid=8BE47AD83022CFEDE78D2F33E509E6F6.prodny_store01-va11
Over $50,https://www.barnesandnoble.com//b/textbooks/mathematics/calculus/_/N-6Z8q9Z18k6;jsessionid=8BE47AD83022CFEDE78D2F33E509E6F6.prodny_store01-va11
Analytical Chemistry,https://www.barnesandnoble.com//b/textbooks/chemistry/analytical-chemistry/_/N-8q9Z18dl;jsessionid=2CD6DADC691EE7752F90A437014204FC.prodny_store01-va05
Chemical Catalysts & Catalysis,https://www.barnesandnoble.com//b/textbooks/chemistry/chemical-catalysts-catalysis/_/N-8q9Z18e2;jsessionid=2CD6DADC691EE7752F90A437014204FC.prodny_store01-va05
Chemical Elements,https://www.barnesandnoble.com//b/textbooks/chemistry/chemical-elements/_/N-8q9Z18e0;jsessionid=2CD6DADC691EE7752F90A437014204FC.prodny_store01-va05
Chemistry - Biochemistry,https://www.barnesandnoble.com//b/textbooks/chemistry/chemistry-biochemistry/_/N-8q9Z18e6;jsessionid=2CD6DADC691EE7752F90A437014204FC.prodny_store01-va05
Chemistry - General & Miscellaneous,https://www.barnesandnoble.com//b/textbooks/chemistry/chemistry-general-miscellaneous/_/N-8q9Z18du;jsessionid=2CD6DADC691EE7752F90A437014204FC.prodny_store01-va05
Chemists - Biography,https://www.barnesandnoble.com//b/textbooks/chemistry/chemists-biography/_/N-8q9Z18dt;jsessionid=2CD6DADC691EE7752F90A437014204FC.prodny_store01-va05
Compounds & Molecules,https://www.barnesandnoble.com//b/textbooks/chemistry/compounds-molecules/_/N-8q9Z18dp;jsessionid=2CD6DADC691EE7752F90A437014204FC.prodny_store01-va05
History of Chemistry,https://www.barnesandnoble.com//b/textbooks/chemistry/history-of-chemistry/_/N-8q9Z18e4;jsessionid=2CD6DADC691EE7752F90A437014204FC.prodny_store01-va05
Inorganic Chemistry,https://www.barnesandnoble.com//b/textbooks/chemistry/inorganic-chemistry/_/N-8q9Z18dv;jsessionid=2CD6DADC691EE7752F90A437014204FC.prodny_store01-va05
Ions & Ionization in Chemistry,https://www.barnesandnoble.com//b/textbooks/chemistry/ions-ionization-in-chemistry/_/N-8q9Z18e5;jsessionid=2CD6DADC691EE7752F90A437014204FC.prodny_store01-va05
Metals & Alloys in Chemistry,https://www.barnesandnoble.com//b/textbooks/chemistry/metals-alloys-in-chemistry/_/N-8q9Z18e1;jsessionid=2CD6DADC691EE7752F90A437014204FC.prodny_store01-va05
Microchemistry,https://www.barnesandnoble.com//b/textbooks/chemistry/microchemistry/_/N-8q9Z18dw;jsessionid=2CD6DADC691EE7752F90A437014204FC.prodny_store01-va05
